user_id,target,name,sex,dob,location,location_population,location_from,location_from_population,occupation,hobbies,daily_commute,friends_number,relationship_status,education,credit_card_type
59,1,Aureliusz,male,2000-05-08,Krotoszyn,29109,Krotoszyn,29109,"Hospitality, retail and other services managers","Gym,Crossfit,Computer programming",29,221,Divorced,,Visa
60,1,Ewelina,female,,Rymanów,3792,Olsztyn,173070,"Chief executives, senior officials and legislators","Stretching,Backpacking",61,197,In relationship,3,Visa
61,0,Aniela,female,1967-08-07,Toruń,202562,Toruń,202562,"Chief executives, senior officials and legislators","Power bike,Cosplaying",92,245,In relationship,4,Visa
62,1,Albert,male,1978-04-06,Poznań,538633,Kowary,11090,Personal service workers,"Weightlifting,Cardio,Lego building",20,180,In relationship,3,Mastercard
63,0,Faustyna,female,1995-11-30,Kraków,767348,Kraków,767348,Sales workers,"Crossfit,Cardio,Bodybuilding",84,249,Married with kids,5,Mastercard
64,0,Cecyl,male,1972-06-19,Świecie,25924,Przeworsk,15452,"Market-oriented skilled forestry, fishery and hunting workers",Book restoration,63,282,Married,1,Mastercard
65,1,Brygida,,1991-05-23,Kalisz,101625,Nowy Sącz,84041,"Chief executives, senior officials and legislators",,50,160,Single,,
66,0,Bolesław,male,1982-09-25,Lublin,339850,Warszawa,1764615,Personal care workers,,71,0,In relationship,4,Visa
67,0,Augustyna,female,1964-09-30,Jedlina-Zdrój,4887,Zgierz,56690,Non-commissioned armed forces officers,"Cardio,Stretching",80,361,Married,4,
68,0,Cecyl,male,1998-07-06,Ryglice,2831,Gorzów Wielkopolski,124295,Food preparation assistants,,69,415,In relationship,1,Visa
69,0,Dalia,female,1972-05-27,Częstochowa,224376,Kalisz,101625,Science and engineering professionals,"Mushroom hunting,Inline skating,Rugby",,220,In relationship,4,Mastercard
70,0,Agata,female,1985-05-01,Łęczna,19167,Tarnów,109650,"Chief executives, senior officials and legislators",,,150,Married,3,American Express
71,1,Dorota,female,1980-04-29,Zgierz,56690,Zgierz,56690,Science and engineering associate professionals,"Stretching,Power bike,role-playing games,Board sports",22,247,Single,4,
72,0,Gerhard,male,2000-07-07,Lubliniec,23899,Kościan,23907,Commissioned armed forces officers,"Badminton,Jewelry making",28,115,In relationship,3,Mastercard
73,0,Bernardeta,female,1986-07-16,Lublin,339850,Siedlce,77653,Handicraft and printing workers,"Rowing,Crossfit,role-playing games,Rugby",80,296,In relationship,4,Mastercard
74,1,Broniszław,male,1989-03-23,Łódź,690422,Łódź,690422,Teaching professionals,"Cardio,Driving",21,186,Married,3,Mastercard
75,0,Eugeniusz,,1973-07-26,Warszawa,1764615,Warszawa,1764615,Science and engineering professionals,Dance,37,156,Married with kids,3,Visa
76,1,Izydor,male,1972-04-20,Sieradz,42570,Sieradz,42570,Cleaners and helpers,"Power bike,Kettleballs,Magic,Homebrewing",53,214,In relationship,4,
77,0,Grażyna,female,1976-09-17,Gliwice,181309,Gliwice,181309,Other clerical support workers,,14,151,Married with kids,3,American Express
78,0,Genowefa,female,1970-01-02,Warszawa,1764615,Łódź,690422,Personal care workers,"Squash,Drama,Fashion,Gunsmithing",36,174,Married,3,Visa
79,0,Balbina,,1977-04-02,Rybnik,139129,Rybnik,139129,Personal service workers,"Sports,Foreign language learning",99,282,,3,
80,0,Hubert,male,1979-10-17,Częstochowa,224376,Częstochowa,224376,"Subsistence farmers, fishers, hunters and gatherers","Coloring,Magic",31,99,In relationship,1,Mastercard
81,0,Celina,female,1997-09-30,Rybnik,139129,Żory,62243,"Food processing, wood working, garment and other craft and related trades workers",,13,241,In relationship,6,Visa
82,0,Erwin,male,1991-08-17,Wrocław,638586,Wrocław,638586,"Agricultural, forestry and fishery labourers",,62,105,Divorced,5,Visa
83,0,Salezy,male,1960-12-13,Toruń,202562,Olsztyn,173070,"Hospitality, retail and other services managers","Rowing,Badminton,Kayaking,Orienteering,Computer programming",20,232,Married,,Visa
84,0,Benedykta,female,,Łódź,690422,Łódź,690422,Business and administration associate professionals,"Yoga,Playing musical instruments,Computer programming",15,300,In relationship,3,Visa
85,1,Franciszek,,1970-08-20,Warszawa,1764615,Garwolin,17381,Other clerical support workers,"Cardio,Badminton,Gym,Watching movies,Lockpicking,Skydiving",88,210,Single,1,Visa
86,0,Cecylia,female,1994-03-19,Toruń,202562,Toruń,202562,"Legal, social, cultural and related associate professionals","Weightlifting,Stretching",86,348,Married,4,
87,1,Hipolit,male,2000-05-31,Warszawa,1764615,Warszawa,1764615,"Building and related trades workers, excluding electricians","Crossfit,Hunting,Knitting",,235,In relationship,1,Visa
88,0,Arletta,female,1984-06-23,Olesno,9400,Olesno,9400,Personal service workers,,24,192,Married,5,Visa
89,0,Brunon,male,1988-03-01,Wrocław,638586,Wrocław,638586,Protective services workers,"Pet,Yo-yoing",6,207,Divorced,5,Visa
90,0,Faustyna,female,2001-06-11,Wrocław,638586,Wrocław,638586,Business and administration associate professionals,"Crossfit,Rowing,Slacklining,Yoga",97,97,Married with kids,1,Mastercard
91,1,Angelika,female,1973-10-09,Warszawa,1764615,Warszawa,1764615,Protective services workers,Cardio,40,234,Single,1,
92,0,Bonawentura,female,1995-04-23,Lublin,339850,Lublin,339850,Other clerical support workers,"Fitness,Cardio,Bird watching",31,71,Married,5,
93,0,Anzelm,male,1971-03-02,Radoszyce,3217,Warszawa,1764615,Protective services workers,"Kitesurfing,Parkour",59,333,In relationship,5,Mastercard
94,0,Bogumiła,female,1997-07-18,Poznań,538633,Poznań,538633,Cleaners and helpers,"Fitness,Urban exploration,Crocheting,Kabaddi",24,143,In relationship,2,Visa
95,1,Henryk,male,1988-01-21,Łódź,690422,Wrocław,638586,Market-oriented skilled agricultural workers,,22,149,Single,,Visa
96,0,Bernardeta,female,1985-04-04,Szczecin,403883,Szczecin,403883,Assemblers,"Squash,Flag Football,Parkour",12,153,In relationship,4,Visa
97,0,Dariusz,male,1993-02-15,Gdańsk,464254,Gdańsk,464254,Non-commissioned armed forces officers,,36,435,In relationship,4,Visa
98,0,Eugenia,female,1978-08-03,Gdynia,246306,Kielce,196804,Stationary plant and machine operators,"Badminton,LARPing",4,123,Single,2,Visa
99,0,Arnolf,male,1989-01-21,Zabrze,174349,Zabrze,174349,Market-oriented skilled agricultural workers,,26,188,Single,3,
100,1,Eligiusz,male,1990-03-01,Ciechanów,44303,Tarnowskie Góry,61262,General and keyboard clerks,"Squash,Basketball,Stone skipping,Lapidary",39,223,Single,3,Visa
101,1,Godfryd,male,1986-05-12,Konstancin-Jeziorna,17191,Konstancin-Jeziorna,17191,"Food processing, wood working, garment and other craft and related trades workers","Sculpting,role-playing games,Metalworking",96,147,Single,4,Visa
102,0,Jadwiga,female,,Międzyrzecz,18255,Międzyrzecz,18255,Teaching professionals,"Stretching,Fashion,Watching movies,Bodybuilding",66,245,Single,1,Visa
103,0,Agnieszka,female,1985-11-05,Toruń,202562,Częstochowa,224376,Science and engineering associate professionals,"Yoga,Astronomy",45,63,Married,6,Visa
104,1,Bartłomiej,male,2001-04-06,Chrzanów,37123,Chrzanów,37123,Personal care workers,"Gym,Metalworking,Swimming",28,198,Divorced,6,Mastercard
105,0,Jakub,male,1999-01-30,Śrem,29845,Warszawa,1764615,"Legal, social and cultural professionals",,18,0,In relationship,2,Visa
106,1,Anastazy,male,1999-10-09,Warszawa,1764615,Warszawa,1764615,Information and communications technicians,"Fitness,Slacklining",49,252,Single,2,Mastercard
107,0,Anastazja,female,1979-07-16,Sulejówek,19663,Tarnów,109650,Street and related sales and service workers,"Bodybuilding,Kettleballs,Rugby,Electronics",39,280,Married,4,Mastercard
108,0,Eliza,female,1991-01-09,Ścinawa,5677,Jaworzno,92090,Cleaners and helpers,"Rowing,role-playing games,Cryptography",26,169,Married with kids,3,
109,1,Hieronim,male,2000-07-22,Cieszyn,34876,Cieszyn,34876,Drivers and mobile plant operators,"Crossfit,Bodybuilding,Gym,Reading,Flying disc",75,181,Married,3,Mastercard
110,0,Gerhard,male,,Andrychów,20567,Ostrów Wielkopolski,72364,Food preparation assistants,"Squash,Jogging",90,105,,4,Mastercard
111,0,Edyta,female,1970-09-03,Myszyniec,3397,Wrocław,638586,"Chief executives, senior officials and legislators",Rafting,34,326,In relationship,6,Mastercard
112,1,Cyprian,male,,Gdynia,246306,Iława,33132,Refuse workers and other elementary workers,"Badminton,Blacksmithing,Stand-up comedy,Digital arts",42,264,Married,,Visa
113,0,Felicjan,male,1980-06-12,Katowice,296262,Czarna Białostocka,9402,Food preparation assistants,"Power bike,Rock climbing",28,282,,3,Visa
114,0,Angelika,female,1966-02-22,Swarzędz,30739,Swarzędz,30739,Handicraft and printing workers,"Beekeeping,Ice skating,Kitesurfing",23,119,Married,3,Mastercard
115,0,Idzi,male,1954-07-18,Wodzisław Śląski,48345,Zawiercie,49908,Refuse workers and other elementary workers,"Weightlifting,Kettleballs,Writing,Sketching,Stand-up comedy",14,103,Single,1,Visa
116,0,Ismena,female,1984-05-01,Kalisz,101625,Kalisz,101625,Commissioned armed forces officers,Flag Football,78,239,In relationship,2,Mastercard
117,0,Alina,female,1973-07-04,Tuchola,13793,Ciechanów,44303,"Labourers in mining, construction, manufacturing and transport","Stone skipping,Urban exploration,Table tennis",72,185,In relationship,4,Revolut
118,0,Arlena,female,1970-12-31,Białystok,297288,Warszawa,1764615,Personal service workers,,43,351,Married,3,Visa
119,1,Agnieszka,female,1980-04-22,Piotrków Trybunalski,74312,Nidzica,13872,Numerical and material recording clerks,"Power bike,Fitness,tabletop games,Gaming",3,266,Single,3,Visa
120,0,Herbert,male,1999-09-29,Barcin,7516,Ruda Śląska,138578,Commissioned armed forces officers,Sand art,46,355,Married with kids,5,Visa
121,0,Eulalia,female,1966-12-08,Katowice,296262,Tomaszów Lubelski,19365,"Legal, social and cultural professionals",Photography,16,243,Married,5,Visa
122,1,Ismena,,,Ełk,61523,Ełk,61523,Customer services clerks,Archery,17,241,,3,Visa
123,1,Jakub,male,1975-03-10,Szczecin,403883,Szczecin,403883,Electrical and electronic trades workers,"Badminton,Scrapbooking,Metalworking,Lapidary",59,185,Married with kids,4,Mastercard
124,1,Gaweł,,1959-07-03,Wrocław,638586,Wrocław,638586,Science and engineering associate professionals,,,191,Single,3,Visa
125,0,Eugeniusz,male,1999-07-13,Nowy Dwór Mazowiecki,28637,Nowy Dwór Mazowiecki,28637,"Building and related trades workers, excluding electricians","Electronics,Flag Football,amateur radio",13,148,Married,,Visa
126,0,Celina,,1964-11-01,Ostrowiec Świętokrzyski,69852,Ostrowiec Świętokrzyski,69852,Business and administration professionals,Homebrewing,30,138,Married with kids,3,Visa
127,0,Ignacy,male,1972-02-10,Łódź,690422,Zielona Góra,139819,Refuse workers and other elementary workers,"Model building,Lego building",62,107,In relationship,,Revolut
128,0,Eryk,male,1973-02-03,Rybnik,139129,Rybnik,139129,"Market-oriented skilled forestry, fishery and hunting workers","Fitness,Skiing,BASE jumping",61,236,Married,5,Visa
129,0,Eryk,male,,Ożarów,4594,Ożarów,4594,Science and engineering professionals,"Squash,Flying disc",,143,In relationship,4,Mastercard
130,0,Felicjan,male,2000-01-24,Skawina,24325,Kluczbork,23797,"Food processing, wood working, garment and other craft and related trades workers","Bodybuilding,Kite flying,Flying disc,Drama",9,223,,4,Visa
131,0,Aurela,female,,Prabuty,8710,Poznań,538633,Teaching professionals,Do it yourself,59,334,,4,Mastercard
132,0,Godfryd,male,1978-01-26,Łódź,690422,Tczew,60257,"Hospitality, retail and other services managers","Sculpting,Ice skating,Glassblowing",93,130,Single,3,Visa
133,0,Aurelia,female,1987-06-21,Świdnica,57671,Konin,74834,"Building and related trades workers, excluding electricians","Candle making,Skiing,Glassblowing",21,232,Married,4,Visa
134,1,Ada,female,,Warszawa,1764615,Warszawa,1764615,Administrative and commercial managers,"Rowing,Cardio,Squash",80,196,Married,5,
135,0,Cyprian,male,1982-11-18,Warszawa,1764615,Warszawa,1764615,Business and administration professionals,Ice skating,52,76,In relationship,4,Mastercard
136,0,Bazyli,male,1999-10-10,Warszawa,1764615,Kostrzyn nad Odrą,17918,Customer services clerks,Mountaineering,30,31,In relationship,2,Visa
137,0,Iwo,male,1972-01-20,Radomsko,46409,Radomsko,46409,"Armed forces occupations, other ranks","Shopping,Computer programming,Netball",4,171,In relationship,6,Mastercard
138,0,Donata,female,1960-01-13,Tczew,60257,Jarosław,37892,"Chief executives, senior officials and legislators","Badminton,Book restoration",99,250,Married,,Visa
139,1,Ildefons,male,,Dąbrowa Górnicza,121121,Dąbrowa Górnicza,121121,"Subsistence farmers, fishers, hunters and gatherers","Fitness,Knife making",57,175,Divorced,4,Visa
140,1,Bogdan,male,1992-12-27,Warszawa,1764615,Warszawa,1764615,Teaching professionals,Stretching,53,199,Single,3,Mastercard
141,1,Irwin,male,1991-07-24,Świnoujście,41032,Świnoujście,41032,Refuse workers and other elementary workers,,73,154,,4,Mastercard
142,1,Apollo,male,1998-10-21,Ruda Śląska,138578,Ruda Śląska,138578,"Labourers in mining, construction, manufacturing and transport",,,207,In relationship,3,Mastercard
143,0,Jadwiga,female,1991-08-31,Mikołów,40423,Mikołów,40423,Other clerical support workers,,98,139,Married,4,Mastercard
144,0,Adam,male,1965-01-14,Warszawa,1764615,Warszawa,1764615,Customer services clerks,"Gardening,Sand art",50,165,Single,3,Mastercard
145,0,Gaweł,male,1972-06-18,Oborniki,18341,Chełmno,19911,Business and administration associate professionals,"Gym,Tai chi",32,178,Single,5,Mastercard
146,0,Halina,female,1978-12-25,Góra,11994,Góra,11994,Drivers and mobile plant operators,"Magic,Drama,Stand-up comedy",54,224,In relationship,2,Visa
147,0,Aleksander,male,1958-10-21,Ostrów Wielkopolski,72364,Ostrów Wielkopolski,72364,Personal care workers,Vacation,78,164,Married,5,Mastercard
148,0,Baltazar,,1979-01-29,Kraków,767348,Zabrze,174349,Business and administration professionals,,15,85,In relationship,3,Mastercard
149,1,Bogdan,male,1984-08-14,Otwock,44873,Olkusz,35921,"Agricultural, forestry and fishery labourers","Gym,Badminton,Rowing,Shooting",78,189,Single,6,Mastercard
150,1,Brunon,male,1972-11-02,Sosnowiec,204013,Kluczbork,23797,Science and engineering associate professionals,Kettleballs,88,243,Married,5,Mastercard
151,0,Dariusz,male,1995-08-16,Warszawa,1764615,Warszawa,1764615,Numerical and material recording clerks,"Hunting,Skateboarding",97,250,Married,,Visa
152,0,Cecylia,female,1973-05-21,Sosnowiec,204013,Kielce,196804,Cleaners and helpers,,58,114,Married with kids,4,
153,0,Aniela,female,1977-07-21,Warszawa,1764615,Dobiegniew,3087,Production and specialised services managers,"Crossfit,Kettleballs,Hiking",,98,Married with kids,1,Visa
154,0,Bolesław,male,1972-04-21,Sosnowiec,204013,Włocławek,111752,"Agricultural, forestry and fishery labourers",,75,215,,3,
155,1,Celestyn,male,1993-05-26,Wałcz,25533,Nowa Sól,39098,General and keyboard clerks,"Rowing,Squash,Mycology,Lacemaking,Cryptography",97,188,In relationship,2,Mastercard
156,0,Grażyna,female,1993-02-10,Kolbuszowa,9158,Radom,214566,Drivers and mobile plant operators,"Crossfit,Basketball,Taxidermy",82,279,Divorced,6,
157,1,Dominik,male,,Pniewy,8037,Pniewy,8037,Personal care workers,"Cardio,Stretching,tabletop games",89,140,Married,2,Mastercard
158,0,Bonawentura,female,1968-12-19,Kraków,767348,Kielce,196804,Science and engineering professionals,"Stretching,Fitness,Skiing",97,221,Married,3,Mastercard
159,1,Cecylia,female,1988-05-05,Kęty,18886,Kęty,18886,"Legal, social, cultural and related associate professionals","Badminton,Taxidermy,Model building,Rock climbing",,227,Single,2,
160,0,Bogusław,male,1974-04-11,Rabka-Zdrój,12883,Rabka-Zdrój,12883,"Legal, social and cultural professionals","Water sports,Netball,Glassblowing",27,202,Married with kids,4,Mastercard
161,0,Arletta,female,1974-08-01,Toruń,202562,Warszawa,1764615,General and keyboard clerks,"Jewelry making,Baseball",63,183,In relationship,3,Mastercard
162,0,Bożena,female,1977-08-30,Piekary Śląskie,55652,Piekary Śląskie,55652,"Metal, machinery and related trades workers",,54,242,Married with kids,,Mastercard
163,0,Ernest,male,,Opole,128140,Opole,128140,Assemblers,"Stretching,Origami",38,106,Married,,Visa
164,0,Balbina,female,1987-10-09,Zielona Góra,139819,Jaworzno,92090,Production and specialised services managers,"Power bike,Sketching,Geocaching,Bodybuilding",41,348,In relationship,6,Visa
165,0,Beata,female,1983-09-05,Pruszcz Gdański,30468,Pruszcz Gdański,30468,Production and specialised services managers,,7,192,Single,6,Mastercard
166,1,Emanuela,female,1997-01-31,Warszawa,1764615,Lublin,339850,"Market-oriented skilled forestry, fishery and hunting workers","Fitness,Crossfit,Air sports",7,102,Married,5,
167,0,Beata,female,1974-08-05,Koszalin,107670,Inowrocław,73577,"Hospitality, retail and other services managers","Badminton,Rappelling,Basketball",65,42,In relationship,3,
168,0,Emilian,male,1972-03-14,Ożarów Mazowiecki,11311,Ożarów Mazowiecki,11311,"Food processing, wood working, garment and other craft and related trades workers",Pottery,27,80,In relationship,4,
169,0,Ada,female,1984-05-27,Lublin,339850,Poznań,538633,Teaching professionals,,72,104,Married,1,
170,0,Aurelian,,,Piotrków Trybunalski,74312,Pruszków,61237,Cleaners and helpers,"Kitesurfing,Glassblowing",97,155,Married with kids,2,Mastercard
171,0,Ernestyna,female,1962-09-16,Łódź,690422,Łódź,690422,Sales workers,"Reading,Drama",55,254,In relationship,2,Mastercard
172,0,Gerhard,male,1979-03-30,Gdańsk,464254,Gdańsk,464254,Science and engineering professionals,,50,162,Married,3,Visa
173,0,Edmund,male,1999-01-15,Piekary Śląskie,55652,Brzeszcze,11345,Health associate professionals,"Vacation,Driving,Yo-yoing",18,185,In relationship,6,Visa
174,0,Bogumił,male,,Wrocław,638586,Wrocław,638586,Science and engineering associate professionals,"Sports,Cooking",91,216,Married with kids,3,Visa
175,0,Arlena,female,1989-09-24,Bielsk Podlaski,25611,Bielsk Podlaski,25611,General and keyboard clerks,"Gym,Urban exploration",1,77,Married with kids,3,Mastercard
176,1,Dorota,,1998-09-09,Mysłowice,74647,Zdzieszowice,11633,Market-oriented skilled agricultural workers,"Weightlifting,Bodybuilding,Surfing,Pottery",,139,Single,5,Visa
177,0,Grzegorz,male,1999-08-14,Krosno,46600,Krosno,46600,Science and engineering professionals,"Weightlifting,Crossfit,Nordic skating,Singing,Slacklining",95,360,Married,4,Mastercard
178,0,Bernadeta,female,1998-10-25,Zduńska Wola,42374,Zduńska Wola,42374,Information and communications technicians,"Mushroom hunting,Vehicle restoration,Origami",29,144,Single,4,Mastercard
179,0,Alina,female,1947-09-04,Legnica,100324,Witkowo,7873,Sales workers,"Stretching,role-playing games",,370,Married with kids,4,
